City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Mongu,ZM,75.74,broken clouds,-15.2484,23.1274,Country Lodge Mongu
621,Vanimo,PG,81.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
625,Igunga,TZ,76.39,overcast clouds,-4.2833,33.8833,Victoria Lodge
632,Itupiranga,BR,80.42,few clouds,-5.1347,-49.3267,Hotel Panorama
639,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
642,Las Vegas,US,83.17,clear sky,36.175,-115.1372,Plaza Hotel & Casino
643,Makakilo City,US,83.61,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
652,Jaru,BR,79.63,broken clouds,-10.4389,-62.4664,Hotel Paraná
655,Sompeta,IN,76.66,broken clouds,18.9333,84.6,Netaji's Home
656,Taylor,US,87.53,clear sky,32.3001,-99.8337,Elm Creek Bed & Breakfast
659,Auki,SB,85.5,overcast clouds,-8.7676,160.7034,Auki Motel
661,Ahuimanu,US,84.78,few clouds,21.4447,-157.8378,Paradise Bay Resort
668,Miri,MY,75.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
669,Mogadishu,SO,78.73,scattered clouds,2.0371,45.3438,Hotel Juba
672,Lompoc,US,75.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
676,Paragominas,BR,78.48,overcast clouds,-2.9667,-47.4833,INOVA
677,Mahibadhoo,MV,82.92,broken clouds,3.7833,72.9667,Omadhoo Inn
679,Katherine,AU,84.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
680,Alamogordo,US,80.4,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
682,Long Beach,US,85.19,clear sky,33.767,-118.1892,The Westin Long Beach
686,Acajutla,SV,89.94,overcast clouds,13.5928,-89.8275,asi es
