City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Plettenberg Bay,ZA,-34.0527,23.3716,58.87,90,37,3.33,scattered clouds
292,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.2,87,1,3.44,clear sky
293,Nouadhibou,MR,20.931,-17.0347,67.98,83,4,12.66,clear sky
294,Alofi,NU,-19.0595,-169.9187,78.69,73,100,10.36,overcast clouds
295,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,89.4,62,20,3.44,few clouds
296,Baker City,US,44.7749,-117.8344,54.64,64,4,5.91,clear sky
297,Kodinsk,RU,58.6881,99.1844,23.36,63,66,7.74,broken clouds
298,Bucerias,MX,20.75,-105.3333,84.97,83,26,5.68,scattered clouds
299,Wanning,CN,18.8003,110.3967,75.74,89,92,8.37,overcast clouds
300,Atasu,KZ,48.6814,71.6433,38.55,64,100,15.46,overcast clouds
301,Paamiut,GL,61.994,-49.6678,31.82,77,82,13.6,broken clouds
302,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,69,75,6.71,broken clouds
303,Mayo,US,38.8876,-76.5119,62.94,79,93,6.49,overcast clouds
304,Port Macquarie,AU,-31.4333,152.9167,59.9,88,90,3.44,overcast clouds
305,Kralendijk,BQ,12.15,-68.2667,81.48,77,100,13.71,overcast clouds
306,Clinton,US,42.587,-82.9199,52.21,90,100,1.01,overcast clouds
307,Phan Thiet,VN,10.9333,108.1,76.53,87,62,6.6,broken clouds
308,Podor,MR,16.6527,-14.9587,87.75,48,0,2.3,clear sky
309,Saint-Raymond,CA,45.467,-73.6095,54.09,83,90,4.61,overcast clouds
310,Krasnoselkup,RU,65.7,82.4667,15.89,95,100,11.83,overcast clouds
311,Berlevag,NO,70.8578,29.0864,38.98,72,98,6.42,overcast clouds
312,Ust-Nera,RU,64.5667,143.2,-12.55,99,97,2.77,overcast clouds
313,Najran,SA,17.4924,44.1277,72.25,52,22,2.84,few clouds
314,Makakilo City,US,21.3469,-158.0858,82.62,60,19,2.98,few clouds
315,Puerto Rico,AR,-26.796,-55.024,68.27,98,100,4.7,overcast clouds
316,Ponta Delgada,PT,37.7333,-25.6667,74.5,94,75,12.66,broken clouds
317,Tual,ID,-5.6667,132.75,83.17,71,71,5.93,broken clouds
318,Ulladulla,AU,-35.35,150.4667,61.88,52,6,2.84,clear sky
319,Sabya,SA,17.1495,42.6254,85.62,60,2,2.73,clear sky
320,Puerto Carreno,CO,6.189,-67.4859,81.23,79,68,4.29,light rain
321,Goderich,CA,43.7501,-81.7165,51.91,81,100,6.91,overcast clouds
322,Narsaq,GL,60.9167,-46.05,28.96,69,94,5.35,overcast clouds
323,Dzerzhinskoye,RU,56.8344,95.2283,27.19,57,96,5.7,overcast clouds
324,Damavand,IR,35.7178,52.065,51.64,65,98,1.61,overcast clouds
325,Tazmalt,DZ,36.3868,4.3989,68.95,37,81,5.79,broken clouds
326,Turayf,SA,31.6725,38.6637,68.25,49,75,0.0,broken clouds
327,Flinders,AU,-34.5833,150.8552,64.38,67,0,1.99,clear sky
328,Stornoway,GB,58.2093,-6.3865,52.93,87,20,8.05,few clouds
329,Avera,US,33.194,-82.5271,60.85,71,100,11.41,overcast clouds
330,Bengkulu,ID,-3.8004,102.2655,75.92,90,100,4.85,overcast clouds
331,Avarua,CK,-21.2078,-159.775,75.25,60,20,12.66,few clouds
332,Tadine,NC,-21.55,167.8833,76.35,67,6,4.76,clear sky
333,Hammonton,US,39.6365,-74.8024,63.95,89,97,5.03,overcast clouds
334,Isangel,VU,-19.55,169.2667,77.11,73,0,5.75,clear sky
335,San Joaquin,US,37.9333,-121.3011,76.78,62,100,2.98,overcast clouds
336,Yulara,AU,-25.2406,130.9889,57.04,94,100,8.05,overcast clouds
337,Annau,TM,37.8876,58.516,53.1,62,75,4.61,broken clouds
338,Havoysund,NO,70.9963,24.6622,34.68,67,100,9.75,overcast clouds
339,Sitka,US,57.0531,-135.33,44.51,83,100,5.17,overcast clouds
340,Fortuna,US,40.5982,-124.1573,68.47,70,20,3.0,few clouds
341,Marica,BR,-22.9194,-42.8186,73.56,88,100,12.59,overcast clouds
342,Alugan,PH,12.2188,125.4808,81.5,74,99,15.55,overcast clouds
343,Searcy,US,35.2506,-91.7363,67.24,58,0,8.99,clear sky
344,Mus,TR,39.0,41.75,45.19,91,100,4.23,overcast clouds
345,Ambanja,MG,-13.6833,48.45,73.35,83,92,2.21,overcast clouds
346,Barinas,VE,8.6226,-70.2075,83.89,90,95,0.83,overcast clouds
347,Erenhot,CN,43.6475,111.9767,31.41,52,42,6.55,scattered clouds
