City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Akdepe,TM,2021-10-28 21:08:34,42.0551,59.3788,41.0,64,0,4.52
161,Griffith,US,2021-10-28 21:08:34,41.5284,-87.4237,55.63,93,90,5.75
162,Vardo,NO,2021-10-28 21:08:35,70.3705,31.1107,32.2,93,100,27.09
163,Korhogo,CI,2021-10-28 21:08:36,9.45,-5.6333,79.21,67,86,4.65
164,Avarua,CK,2021-10-28 21:06:24,-21.2078,-159.775,75.25,73,10,12.66
165,Tasiilaq,GL,2021-10-28 21:07:21,65.6145,-37.6368,32.16,73,82,8.41
166,Tarquinia,IT,2021-10-28 21:08:36,42.2482,11.7553,63.07,68,100,5.5
167,Hasaki,JP,2021-10-28 21:08:37,35.7333,140.8333,54.0,54,91,30.49
168,Paamiut,GL,2021-10-28 21:08:38,61.994,-49.6678,33.28,72,100,17.54
169,Alexandria,EG,2021-10-28 21:08:38,31.2156,29.9553,78.76,69,40,8.05
170,Russell,US,2021-10-28 21:08:39,32.3502,-85.1999,73.0,55,1,10.36
171,Sorland,NO,2021-10-28 21:08:39,67.667,12.6934,48.27,86,100,23.42
172,Kloulklubed,PW,2021-10-28 21:08:39,7.0419,134.2556,84.06,69,53,14.79
173,Henties Bay,NA,2021-10-28 21:08:40,-22.116,14.2845,60.85,88,12,7.34
174,De-Kastri,RU,2021-10-28 21:08:40,51.4667,140.7833,32.18,91,5,4.09
175,Mumbwa,ZM,2021-10-28 21:08:41,-14.9783,27.0619,71.56,50,0,8.08
176,Coffs Harbour,AU,2021-10-28 21:08:41,-30.3,153.1333,78.13,73,100,10.36
177,Hoopstad,ZA,2021-10-28 21:08:41,-27.8327,25.9083,62.08,80,95,8.01
178,Butterworth,MY,2021-10-28 21:08:42,5.3991,100.3638,78.84,90,20,3.44
179,Faya,SA,2021-10-28 21:07:45,18.3851,42.4509,55.92,60,3,3.06
180,Sangar,RU,2021-10-28 21:08:43,63.9242,127.4739,19.27,93,100,9.04
181,Kaitangata,NZ,2021-10-28 21:08:43,-46.2817,169.8464,58.68,72,57,5.21
182,Aanekoski,FI,2021-10-28 21:08:44,62.6946,25.818,48.27,97,100,9.24
183,Alta Floresta,BR,2021-10-28 21:08:44,-9.8756,-56.0861,76.53,81,65,5.39
184,Massakory,TD,2021-10-28 21:08:45,12.996,15.7293,87.76,13,12,10.36
185,Saltpond,GH,2021-10-28 21:08:45,5.2091,-1.0606,78.76,84,39,3.76
186,Brownsville,US,2021-10-28 21:06:05,25.9018,-97.4975,87.75,23,1,5.01
187,Mackay,AU,2021-10-28 21:07:16,-21.15,149.2,80.69,69,3,9.6
188,Tulum,MX,2021-10-28 21:08:46,20.2167,-87.4667,88.93,68,66,7.92
189,The Valley,AI,2021-10-28 21:03:50,18.217,-63.0578,82.81,69,40,8.05
190,Oktyabrskiy,RU,2021-10-28 21:08:47,54.4815,53.471,38.73,78,100,8.84
191,Galle,LK,2021-10-28 21:08:47,6.0367,80.217,76.64,90,100,5.64
192,Jhelum,PK,2021-10-28 21:08:48,32.9331,73.7264,66.04,46,0,4.16
193,Ongandjera,NA,2021-10-28 21:08:48,-17.8833,15.0667,78.4,41,76,4.45
194,Meulaboh,ID,2021-10-28 21:08:49,4.1363,96.1285,77.94,87,90,5.28
195,Saint-Georges,GD,2021-10-28 21:08:49,12.0564,-61.7485,80.8,77,89,11.97
196,Tuktoyaktuk,CA,2021-10-28 21:06:53,69.4541,-133.0374,28.4,93,90,5.75
197,San Ramon,US,2021-10-28 21:04:14,37.7799,-121.978,78.39,54,1,1.99
198,Chalmette,US,2021-10-28 21:08:50,29.9427,-89.9634,72.0,45,90,4.0
199,Vrangel,RU,2021-10-28 21:08:50,42.7297,133.0839,41.67,69,0,7.29
200,Ayan,RU,2021-10-28 21:08:51,56.45,138.1667,37.87,62,98,2.55
201,Flinders,AU,2021-10-28 21:08:51,-34.5833,150.8552,78.08,48,95,9.15
202,Shitanjing,CN,2021-10-28 21:08:52,39.2342,106.3439,43.9,33,0,9.71
203,Ponta Delgada,PT,2021-10-28 21:08:52,37.7333,-25.6667,68.72,88,20,10.36
204,New Norfolk,AU,2021-10-28 21:06:08,-42.7826,147.0587,47.7,79,100,5.99
205,Alice Springs,AU,2021-10-28 21:08:53,-23.7,133.8833,72.95,21,54,12.66
206,Bonavista,CA,2021-10-28 21:08:53,48.6499,-53.1147,39.11,73,100,15.68
207,Nanortalik,GL,2021-10-28 21:08:54,60.1432,-45.2371,36.07,72,86,3.71
208,Comodoro Rivadavia,AR,2021-10-28 21:08:54,-45.8667,-67.5,71.46,28,0,16.11
209,Cotonou,BJ,2021-10-28 21:04:54,6.3654,2.4183,80.29,77,20,4.97
210,Willmar,US,2021-10-28 21:08:55,45.1219,-95.0433,55.08,76,1,10.36
211,Natal,BR,2021-10-28 21:04:12,-5.795,-35.2094,79.45,73,20,10.36
212,Manicore,BR,2021-10-28 21:08:56,-5.8092,-61.3003,83.5,74,96,3.18
